disease,symptom,weight
acne,Acne or pimples,0.067
acne,Abnormal appearing skin,0.027
acne,Skin rash,0.013
allergy,Cough,0.2
allergy,Allergic reaction,0.133
allergy,Skin rash,0.067
allergy,Itchiness of eye,0.013
allergy,Swollen tongue,0.013
allergy,Skin swelling,0.013
amyloidosis,Fatigue,0.094
amyloidosis,Fever,0.062
amyloidosis,Nailbiting,0.031
amyloidosis,Eye strain,0.031
amyloidosis,Anxiety and nervousness,0.031
ankylosing spondylitis,Back pain,0.267
ankylosing spondylitis,Low back pain,0.133
ankylosing spondylitis,Joint pain,0.12
ankylosing spondylitis,Leg pain,0.04
ankylosing spondylitis,Hip pain,0.027
ankylosing spondylitis,Ache all over,0.013
ankylosing spondylitis,Elbow pain,0.013
ankylosing spondylitis,Rib pain,0.013
ankylosing spondylitis,Paresthesia,0.013
anxiety,Depression,0.227
anxiety,Headache,0.133
anxiety,Palpitations,0.067
anxiety,Shortness of breath,0.04
anxiety,Insomnia,0.013
anxiety,Increased heart rate,0.013
anxiety,Depressive or psychotic symptoms,0.013
anxiety,Anxiety and nervousness,0.013
chickenpox,Fever,0.293
chickenpox,Cough,0.107
chickenpox,Skin lesion,0.08
chickenpox,Skin rash,0.04
chickenpox,Ache all over,0.013
chickenpox,Eye redness,0.013
chlamydia,Frequent urination,0.04
chlamydia,Vaginal discharge,0.04
chlamydia,Penile discharge,0.027
chlamydia,Painful urination,0.027
chlamydia,Vaginal itching,0.013
chlamydia,Lower abdominal pain,0.013
chlamydia,Pelvic pain,0.013
chlamydia,Itching of skin,0.013
chlamydia,Vaginal pain,0.013
chronic back pain,Back pain,1
chronic back pain,Low back pain,0.253
chronic back pain,Leg pain,0.04
chronic back pain,Neck pain,0.027
chronic back pain,Lower body pain,0.027
chronic back pain,Back cramps or spasms,0.027
chronic back pain,Loss of sensation,0.013
chronic back pain,Back stiffness or tightness,0.013
chronic back pain,Hip pain,0.013
chronic kidney disease,Fatigue,0.053
chronic kidney disease,Shortness of breath,0.04
chronic kidney disease,Symptoms of the kidneys,0.027
chronic kidney disease,Peripheral edema,0.013
concussion,Headache,0.4
concussion,Dizziness,0.187
concussion,Vomiting,0.173
concussion,Nausea,0.16
concussion,Neck pain,0.04
concussion,Double vision,0.027
concussion,Sleepiness,0.013
connective tissue disorder,Fever,0.169
connective tissue disorder,Fatigue,0.108
connective tissue disorder,Joint pain,0.108
connective tissue disorder,Headache,0.077
connective tissue disorder,Feeling ill,0.031
connective tissue disorder,Arm pain,0.015
connective tissue disorder,Ache all over,0.015
connective tissue disorder,Difficulty in swallowing,0.015
connective tissue disorder,Lymphedema,0.015
connective tissue disorder,Skin rash,0.015
contact dermatitis,Skin rash,0.373
contact dermatitis,Allergic reaction,0.227
contact dermatitis,Skin swelling,0.013
contact dermatitis,Itching of skin,0.013
cystic fibrosis,Cough,0.412
cystic fibrosis,Feeling ill,0.088
cystic fibrosis,Intermenstrual bleeding,0.059
cystic fibrosis,Muscle pain,0.029
cystic fibrosis,Decreased appetite,0.029
cystic fibrosis,Drainage in throat,0.029
cystic fibrosis,Hemoptysis,0.029
cystitis,Pelvic pain,0.053
cystitis,Back pain,0.04
cystitis,Lower abdominal pain,0.04
cystitis,Blood in urine,0.027
cystitis,Painful urination,0.027
cystitis,Frequent urination,0.027
cystitis,Symptoms of bladder,0.013
cystitis,Side pain,0.013
cystitis,Retention of urine,0.013
degenerative disc disease,Back pain,0.333
degenerative disc disease,Low back pain,0.08
degenerative disc disease,Leg pain,0.053
degenerative disc disease,Shoulder pain,0.04
degenerative disc disease,Neck pain,0.027
degenerative disc disease,Joint pain,0.013
degenerative disc disease,Paresthesia,0.013
degenerative disc disease,Hip pain,0.013
degenerative disc disease,Loss of sensation,0.013
degenerative disc disease,Ache all over,0.013
dengue fever,Fever,1
dengue fever,Wrist pain,0.027
dengue fever,Shoulder cramps or spasms,0.013
dengue fever,Sore throat,0.013
diaper rash,Diaper rash,1
diaper rash,Fever,0.274
diaper rash,Diarrhea,0.164
diaper rash,Skin rash,0.137
diaper rash,Vomiting,0.068
diaper rash,Cough,0.055
diaper rash,Nasal congestion,0.041
diaper rash,Temper problems,0.014
diaper rash,Blood in stool,0.014
eating disorder,Depression,0.167
eating disorder,Difficulty eating,0.05
eating disorder,Excessive appetite,0.05
eating disorder,Weight gain,0.033
eating disorder,Anxiety and nervousness,0.017
eating disorder,Vomiting blood,0.017
eczema,Skin rash,0.147
eczema,Skin lesion,0.053
eczema,Allergic reaction,0.053
eczema,Warts,0.053
eczema,Abnormal appearing skin,0.04
eczema,Itching of skin,0.04
eczema,Cough,0.027
eczema,Skin irritation,0.013
eczema,Skin swelling,0.013
encephalitis,Headache,0.213
encephalitis,Seizures,0.2
encephalitis,Dizziness,0.067
encephalitis,Fatigue,0.053
encephalitis,Disturbance of memory,0.053
encephalitis,Joint pain,0.04
encephalitis,Insomnia,0.04
encephalitis,Loss of sensation,0.027
encephalitis,Leg pain,0.027
encephalitis,Problems with movement,0.013
encephalitis,Leg weakness,0.013
encephalitis,Paresthesia,0.013
endometrial cancer,Vaginal discharge,0.125
endometrial cancer,Vaginal bleeding after menopause,0.104
endometrial cancer,Cramps and spasms,0.062
endometrial cancer,Pelvic pain,0.042
endometrial cancer,Intermenstrual bleeding,0.042
endometrial cancer,Absence of menstruation,0.021
endometrial cancer,Vaginal itching,0.021
endometrial cancer,Long menstrual periods,0.021
endometrial hyperplasia,Heavy menstrual flow,0.121
endometrial hyperplasia,Vaginal discharge,0.091
endometrial hyperplasia,Muscle swelling,0.061
endometrial hyperplasia,Vaginal bleeding after menopause,0.061
endometrial hyperplasia,Low back weakness,0.061
endometrial hyperplasia,Back weakness,0.061
endometrial hyperplasia,Pelvic pain,0.061
endometrial hyperplasia,Involuntary urination,0.03
endometriosis,Infertility,0.173
endometriosis,Pelvic pain,0.093
endometriosis,Lower abdominal pain,0.08
endometriosis,Sharp abdominal pain,0.027
endometriosis,Vaginal pain,0.013
endometriosis,Painful menstruation,0.013
endometriosis,Hot flashes,0.013
endometriosis,Burning abdominal pain,0.013
epididymitis,Pain in testicles,0.253
epididymitis,Swelling of scrotum,0.067
epididymitis,Lower abdominal pain,0.04
epididymitis,Lower body pain,0.027
epididymitis,Blood in urine,0.027
epididymitis,Swollen abdomen,0.013
epididymitis,Painful urination,0.013
epididymitis,Mass in scrotum,0.013
epididymitis,Groin pain,0.013
erectile dysfunction,Premature ejaculation,0.173
erectile dysfunction,Impotence,0.04
erectile dysfunction,Pain in testicles,0.027
erectile dysfunction,Pain during intercourse,0.013
erectile dysfunction,Involuntary urination,0.013
erectile dysfunction,Penis pain,0.013
erectile dysfunction,Loss of sex drive,0.013
essential tremor,Fears and phobias,0.059
essential tremor,Dizziness,0.039
essential tremor,Abnormal involuntary movements,0.039
essential tremor,Arm stiffness or tightness,0.039
essential tremor,Muscle pain,0.039
essential tremor,Headache,0.039
essential tremor,Painful sinuses,0.02
essential tremor,Loss of sensation,0.02
essential tremor,Disturbance of memory,0.02
essential tremor,Seizures,0.02
fibromyalgia,Back pain,0.133
fibromyalgia,Fatigue,0.133
fibromyalgia,Headache,0.107
fibromyalgia,Muscle pain,0.053
fibromyalgia,Neck pain,0.04
fibromyalgia,Shoulder pain,0.04
fibromyalgia,Low back pain,0.04
fibromyalgia,Leg pain,0.04
fibromyalgia,Arm pain,0.013
fibromyalgia,Hip pain,0.013
fluid overload,Shortness of breath,0.111
fluid overload,Fluid retention,0.111
fluid overload,Leg swelling,0.089
fluid overload,Vomiting,0.089
fluid overload,Nausea,0.044
fluid overload,Difficulty breathing,0.044
fluid overload,Hand or finger swelling,0.044
fluid overload,Cough,0.044
fluid overload,Sharp chest pain,0.022
fluid overload,Peripheral edema,0.022
fluid overload,Sharp abdominal pain,0.022
fluid overload,Weakness,0.022
ganglion cyst,Wrist lump or mass,0.12
